type,battleTime,team_0_tag,team_0_crowns,opponent_0_tag,opponent_0_crowns,team_0_evolution_count,team_0_cards_0_name,team_0_cards_1_name,team_0_cards_2_name,team_0_cards_3_name,team_0_cards_4_name,team_0_cards_5_name,team_0_cards_6_name,team_0_cards_7_name,team_0_supportCards_0_name,opponent_0_evolution_count,opponent_0_cards_0_name,opponent_0_cards_1_name,opponent_0_cards_2_name,opponent_0_cards_3_name,opponent_0_cards_4_name,opponent_0_cards_5_name,opponent_0_cards_6_name,opponent_0_cards_7_name,opponent_0_supportCards_0_name
pathOfLegend,20240208T150208.000Z,#202GUYUP,3,#CJ9U82R82,0,2,Evol Skeletons,Evol Bomber,Royal Hogs,Earthquake,Archer Queen,Royal Delivery,Cannon,The Log,Tower Princess,2,Evol Skeletons,Evol Firecracker,Miner,Wall Breakers,Ice Spirit,Bats,Bomb Tower,The Log,Cannoneer
pathOfLegend,20240208T145828.000Z,#9RYCQGVCJ,2,#202GUYUP,0,2,Evol Knight,Evol Archers,Heal Spirit,Battle Ram,Archer Queen,Royal Ghost,Bandit,Arrows,Tower Princess,2,Evol Knight,Evol Firecracker,Hog Rider,Earthquake,Ice Spirit,Skeletons,Tesla,The Log,Tower Princess
pathOfLegend,20240208T145502.000Z,#202GUYUP,1,#JCLGUCP,0,2,Evol Skeletons,Evol Bomber,Royal Hogs,Earthquake,Archer Queen,Royal Delivery,Cannon,The Log,Tower Princess,2,Evol Bats,Evol Skeletons,Mega Knight,Wall Breakers,Little Prince,Bandit,Miner,Arrows,Tower Princess
pathOfLegend,20240208T145032.000Z,#202GUYUP,1,#LLJQJLPRJ,0,2,Evol Skeletons,Evol Bomber,Royal Hogs,Earthquake,Archer Queen,Royal Delivery,Cannon,The Log,Tower Princess,2,Evol Skeletons,Evol Bomber,Little Prince,The Log,Royal Hogs,Earthquake,Ice Spirit,Royal Delivery,Cannoneer
pathOfLegend,20240208T144332.000Z,#202GUYUP,1,#V0CUGR9,0,2,Evol Skeletons,Evol Bomber,Royal Hogs,Earthquake,Archer Queen,Royal Delivery,Cannon,The Log,Tower Princess,2,Evol Royal Recruits,Evol Firecracker,Wall Breakers,Mighty Miner,Goblins,Skeleton Barrel,Arrows,Goblin Gang,Tower Princess
pathOfLegend,20240208T143601.000Z,#202GUYUP,1,#YUY92PP9,0,2,Evol Skeletons,Evol Bomber,Royal Hogs,Earthquake,Archer Queen,Royal Delivery,Cannon,The Log,Tower Princess,2,Evol Knight,Evol Skeletons,Ice Spirit,Poison,Graveyard,Bomb Tower,Barbarian Barrel,Little Prince,Tower Princess
pathOfLegend,20240208T143038.000Z,#VGRU0Y229,3,#202GUYUP,0,2,Evol Bomber,Evol Skeletons,Balloon,Minions,Lava Hound,Minion Horde,Miner,Arrows,Tower Princess,2,Evol Skeletons,Evol Bomber,Royal Hogs,Earthquake,Archer Queen,Royal Delivery,Cannon,The Log,Tower Princess
pathOfLegend,20240208T141828.000Z,#202GUYUP,1,#JPGLJ0GL,0,2,Evol Bomber,Evol Ice Spirit,Royal Hogs,Earthquake,Archer Queen,Royal Delivery,Cannon,The Log,Tower Princess,2,Evol Barbarians,Evol Bomber,Arrows,Musketeer,Giant,Graveyard,Zap,Minions,Tower Princess
pathOfLegend,20240208T141311.000Z,#8UQLQ88JU,1,#202GUYUP,0,2,Evol Knight,Evol Firecracker,Goblin Drill,Bomb Tower,Goblins,Ice Spirit,Fireball,Tornado,Tower Princess,2,Evol Knight,Evol Bomber,Hog Rider,Earthquake,Ice Spirit,Skeletons,Tesla,The Log,Tower Princess
pathOfLegend,20240208T140731.000Z,#9L8P8GV9L,2,#202GUYUP,1,2,Evol Knight,Evol Bomber,Inferno Dragon,Balloon,Giant Snowball,Minions,Arrows,Lava Hound,Tower Princess,2,Evol Knight,Evol Bomber,Hog Rider,Earthquake,Ice Spirit,Skeletons,Tesla,The Log,Tower Princess
pathOfLegend,20240208T125831.000Z,#202GUYUP,1,#8QUJ0V98G,0,2,Evol Knight,Evol Bomber,Hog Rider,Earthquake,Ice Spirit,Skeletons,Tesla,The Log,Tower Princess,2,Evol Skeletons,Evol Bomber,Goblin Drill,Fireball,Bandit,Fire Spirit,Inferno Tower,The Log,Tower Princess
pathOfLegend,20240208T124512.000Z,#202GUYUP,1,#2JRP8UYP,0,2,Evol Knight,Evol Bomber,Hog Rider,Earthquake,Ice Spirit,Skeletons,Tesla,The Log,Tower Princess,2,Evol Knight,Evol Archers,Graveyard,Poison,Baby Dragon,Barbarian Barrel,Tornado,Tombstone,Cannoneer
pathOfLegend,20240208T124057.000Z,#UUQ0PGPLV,1,#202GUYUP,0,2,Evol Bomber,Evol Knight,Rage,Goblin Giant,Minions,Mini P.E.K.K.A,Arrows,Sparky,Tower Princess,2,Evol Knight,Evol Bomber,Hog Rider,Earthquake,Ice Spirit,Skeletons,Tesla,The Log,Tower Princess
pathOfLegend,20240208T123622.000Z,#202GUYUP,1,#9RYCQGVCJ,0,2,Evol Knight,Evol Bomber,Hog Rider,Earthquake,Ice Spirit,Skeletons,Tesla,The Log,Tower Princess,2,Evol Archers,Evol Knight,Fireball,Zap,Little Prince,Battle Ram,Royal Ghost,P.E.K.K.A,Tower Princess
pathOfLegend,20240208T123251.000Z,#202GUYUP,1,#28GCQJCLU,0,2,Evol Knight,Evol Bomber,Hog Rider,Earthquake,Ice Spirit,Skeletons,Tesla,The Log,Tower Princess,0,Zap,Arrows,Mega Minion,Inferno Tower,Skeleton Army,Balloon,Lumberjack,Mega Knight,Tower Princess
pathOfLegend,20240208T122727.000Z,#202GUYUP,1,#80LJCVQRP,0,2,Evol Knight,Evol Bomber,Hog Rider,Earthquake,Ice Spirit,Skeletons,Tesla,The Log,Tower Princess,2,Evol Barbarians,Evol Bomber,Bandit,Rage,Royal Ghost,Heal Spirit,Archer Queen,Battle Ram,Tower Princess
pathOfLegend,20240208T095606.000Z,#202GUYUP,1,#80V09JYV2,0,2,Evol Knight,Evol Bomber,Hog Rider,Earthquake,Ice Spirit,Skeletons,Tesla,The Log,Tower Princess,2,Evol Firecracker,Evol Knight,Hog Rider,Goblins,Earthquake,Ice Spirit,The Log,Tesla,Tower Princess
pathOfLegend,20240208T094822.000Z,#202GUYUP,1,#9GGGQP2G,0,2,Evol Knight,Evol Bomber,Hog Rider,Earthquake,Ice Spirit,Skeletons,Tesla,The Log,Tower Princess,2,Evol Royal Recruits,Evol Royal Giant,Little Prince,Fisherman,Arrows,Fireball,Lumberjack,Skeleton Dragons,Cannoneer
pathOfLegend,20240208T091743.000Z,#PPRUPPCVY,1,#202GUYUP,0,2,Evol Bomber,Evol Archers,Little Prince,Electro Giant,Bowler,Cannon,Tornado,Lightning,Cannoneer,2,Evol Knight,Evol Bomber,Hog Rider,Earthquake,Ice Spirit,Skeletons,Tesla,The Log,Tower Princess
pathOfLegend,20240208T091206.000Z,#202GUYUP,1,#P89GLC2LC,0,2,Evol Knight,Evol Bomber,Hog Rider,Earthquake,Ice Spirit,Skeletons,Tesla,The Log,Tower Princess,2,Evol Knight,Evol Ice Spirit,Princess,The Log,Rocket,Tesla,Goblin Gang,Goblin Barrel,Tower Princess
pathOfLegend,20240208T090325.000Z,#VGRU0Y229,2,#202GUYUP,1,2,Evol Bomber,Evol Skeletons,Balloon,Minions,Lava Hound,Minion Horde,Miner,Arrows,Tower Princess,2,Evol Knight,Evol Firecracker,Hog Rider,Earthquake,Ice Spirit,Skeletons,Tesla,The Log,Tower Princess
pathOfLegend,20240208T120811.000Z,#209RRYLVR,1,#2Q2U9LQY,0,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess,2,Evol Archers,Evol Bats,Graveyard,Arrows,Dark Prince,Giant Snowball,Little Prince,Giant,Tower Princess
pathOfLegend,20240207T200059.000Z,#209RRYLVR,1,#V8UJ28UVG,0,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess,2,Evol Knight,Evol Mortar,Bats,Giant Snowball,Goblins,Archer Queen,Miner,Poison,Tower Princess
pathOfLegend,20240207T195640.000Z,#209RRYLVR,1,#PYRRCQCPY,0,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess,2,Evol Barbarians,Evol Bomber,Zap,Arrows,Golem,Night Witch,Phoenix,Lumberjack,Cannoneer
pathOfLegend,20240207T195221.000Z,#209RRYLVR,1,#C2Q89YYJP,0,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess,2,Evol Knight,Evol Ice Spirit,Princess,Goblin Barrel,Goblin Gang,Inferno Tower,The Log,Rocket,Tower Princess
pathOfLegend,20240207T194741.000Z,#209RRYLVR,1,#P9QURV29,0,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess,1,Evol Skeletons,Ice Spirit,Earthquake,Cannon,Royal Delivery,The Log,Archer Queen,Royal Hogs,Tower Princess
pathOfLegend,20240207T194215.000Z,#209RRYLVR,3,#8PU8GRPQ2,0,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess,1,Evol Skeletons,Cannon,Royal Delivery,Earthquake,The Log,Little Prince,Fire Spirit,Royal Hogs,Tower Princess
pathOfLegend,20240207T193750.000Z,#209RRYLVR,1,#P2JC98U0,0,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess,2,Evol Archers,Evol Mortar,Mighty Miner,The Log,Poison,Miner,Goblins,Ice Spirit,Tower Princess
pathOfLegend,20240207T180049.000Z,#209RRYLVR,1,#LJQ2RYLV9,0,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess,2,Evol Knight,Evol Archers,Little Prince,Arrows,Lightning,Goblin Giant,Fisherman,Bowler,Tower Princess
pathOfLegend,20240207T175623.000Z,#88LCPRVL2,1,#209RRYLVR,0,2,Evol Bats,Evol Ice Spirit,Tornado,Hog Rider,Tesla,Fireball,Sparky,Dark Prince,Tower Princess,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess
pathOfLegend,20240207T175002.000Z,#209RRYLVR,1,#QVJ8U298,0,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess,2,Evol Royal Recruits,Evol Firecracker,Barbarian Barrel,Goblin Cage,Royal Hogs,Fireball,Zappies,Arrows,Tower Princess
pathOfLegend,20240207T174352.000Z,#209RRYLVR,1,#8998YU8J8,0,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess,2,Evol Royal Recruits,Evol Bomber,Goblins,Fisherman,Wall Breakers,Mother Witch,Fireball,Elixir Collector,Tower Princess
pathOfLegend,20240207T173858.000Z,#209RRYLVR,1,#98PULC0J,0,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess,2,Evol Firecracker,Evol Knight,Hog Rider,The Log,Goblins,Tesla,Ice Spirit,Earthquake,Tower Princess
pathOfLegend,20240208T144055.000Z,#20JRVCR88,2,#2VJ08JQR8,1,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess,2,Evol Bomber,Evol Skeletons,Wall Breakers,Little Prince,Royal Delivery,Goblin Drill,Poison,Bomb Tower,Tower Princess
pathOfLegend,20240208T143721.000Z,#20JRVCR88,2,#8C8QLQC8V,1,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess,2,Evol Archers,Evol Bats,Graveyard,Arrows,Dark Prince,Fireball,Giant,Musketeer,Tower Princess
pathOfLegend,20240208T143355.000Z,#20JRVCR88,3,#2RJJP20,1,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess,2,Evol Firecracker,Evol Knight,Hog Rider,Bomb Tower,Earthquake,Ice Spirit,The Log,Goblins,Tower Princess
pathOfLegend,20240208T143147.000Z,#20JRVCR88,3,#9PJCCLVC,0,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess,2,Evol Knight,Evol Bomber,Elixir Collector,Royal Ghost,Bandit,Battle Ram,Hunter,Three Musketeers,Tower Princess
pathOfLegend,20240208T142853.000Z,#20JRVCR88,1,#CRRQYV9Y9,0,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess,2,Evol Knight,Evol Bats,Bomb Tower,Miner,Poison,Little Prince,Goblins,The Log,Cannoneer
pathOfLegend,20240208T142521.000Z,#20JRVCR88,2,#VY0RG00Y9,1,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess,2,Evol Bomber,Evol Valkyrie,Golem,Baby Dragon,Tombstone,Night Witch,Lightning,Tornado,Tower Princess
pathOfLegend,20240208T140740.000Z,#20JRVCR88,2,#2CLUVG8J8,1,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess,2,Evol Bats,Evol Knight,Skeleton Barrel,Inferno Dragon,Goblin Gang,Zap,Executioner,Mega Knight,Tower Princess
pathOfLegend,20240208T140421.000Z,#20JRVCR88,2,#PCCP800Y,1,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess,2,Evol Bomber,Evol Skeletons,Wall Breakers,Little Prince,Royal Delivery,Goblin Drill,Poison,Bomb Tower,Cannoneer
pathOfLegend,20240208T140048.000Z,#20JRVCR88,2,#UGCGRCR02,0,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess,1,Evol Bats,Night Witch,Giant,Bowler,Skeleton Army,Graveyard,Giant Snowball,Arrows,Tower Princess
pathOfLegend,20240208T135732.000Z,#PV222VCCU,2,#20JRVCR88,1,2,Evol Royal Giant,Evol Bomber,Barbarian Barrel,Fireball,Royal Ghost,Electro Spirit,Fisherman,Phoenix,Tower Princess,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess
pathOfLegend,20240208T135406.000Z,#20JRVCR88,3,#Y88Q8CULG,0,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess,2,Evol Knight,Evol Skeletons,Executioner,Tornado,Balloon,Miner,Bomb Tower,Zap,Tower Princess
pathOfLegend,20240208T135234.000Z,#2JQ2UGV0P,1,#20JRVCR88,0,2,Evol Knight,Evol Bomber,The Log,Goblin Drill,Skeletons,Tornado,Bomb Tower,Executioner,Tower Princess,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess
pathOfLegend,20240208T134921.000Z,#L899LR29V,1,#20JRVCR88,0,2,Evol Skeletons,Evol Firecracker,Giant Skeleton,Ice Spirit,Hog Rider,Bomb Tower,Earthquake,The Log,Tower Princess,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess
pathOfLegend,20240208T134359.000Z,#V8PG9GU0Y,2,#20JRVCR88,1,2,Evol Royal Recruits,Evol Archers,Fisherman,Rage,Minions,Goblin Giant,Fireball,Little Prince,Tower Princess,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess
pathOfLegend,20240208T134046.000Z,#RC0U0GRRV,1,#20JRVCR88,0,2,Evol Knight,Evol Bomber,Tornado,Electro Giant,Lightning,Cannon,Little Prince,Barbarian Barrel,Tower Princess,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess
pathOfLegend,20240208T133547.000Z,#20JRVCR88,3,#8LJVPRYCJ,2,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess,2,Evol Bomber,Evol Knight,Rage,Goblin Giant,Minions,Mini P.E.K.K.A,Arrows,Sparky,Cannoneer
pathOfLegend,20240208T133112.000Z,#GYC8J2J8V,1,#20JRVCR88,0,2,Evol Bomber,Evol Barbarians,Tornado,Elixir Collector,Golem,Skeleton Dragons,Electro Dragon,Lumberjack,Tower Princess,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess
pathOfLegend,20240208T132746.000Z,#20JRVCR88,3,#98Q9PPRU8,2,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess,0,Mega Knight,Zap,Balloon,Bandit,Inferno Dragon,Hog Rider,Minion Horde,Arrows,Tower Princess
pathOfLegend,20240208T132433.000Z,#9R0P0G989,1,#20JRVCR88,0,2,Evol Archers,Evol Knight,Goblin Giant,Bowler,Fireball,Fisherman,Minions,Rage,Tower Princess,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess
pathOfLegend,20240208T131915.000Z,#20JRVCR88,1,#L0CU8UJ,0,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess,2,Evol Knight,Evol Bomber,Sparky,Archer Queen,Lightning,Arrows,Goblin Giant,Dark Prince,Tower Princess
pathOfLegend,20240208T131437.000Z,#20JRVCR88,2,#C0G98CVG8,1,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess,2,Evol Barbarians,Evol Archers,Balloon,Mega Minion,Arrows,Lava Hound,Giant Snowball,Skeleton Dragons,Tower Princess
pathOfLegend,20240208T131124.000Z,#YC2GJVQY,1,#20JRVCR88,0,2,Evol Skeletons,Evol Bomber,Tornado,Freeze,Rascals,Graveyard,Executioner,Inferno Dragon,Tower Princess,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess
pathOfLegend,20240208T130755.000Z,#20JRVCR88,2,#8P9ULU0,1,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess,2,Evol Firecracker,Evol Knight,Freeze,Balloon,Valkyrie,Hog Rider,Mega Minion,Minions,Tower Princess
pathOfLegend,20240208T130348.000Z,#20JRVCR88,2,#28R98UVCL,1,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess,2,Evol Ice Spirit,Evol Skeletons,Earthquake,The Log,Royal Hogs,Royal Delivery,Archer Queen,Cannon,Tower Princess
pathOfLegend,20240208T124725.000Z,#20JRVCR88,1,#8LGQQ0UQC,0,2,Evol Bats,Evol Barbarians,Zap,Giant,Sparky,Minion Horde,Arrows,Mini P.E.K.K.A,Tower Princess,2,Evol Barbarians,Evol Mortar,Arrows,Mother Witch,Little Prince,Skeleton Dragons,Miner,Wall Breakers,Tower Princess
