type,battleTime,team_0_tag,team_0_crowns,opponent_0_tag,opponent_0_crowns,team_0_evolution_count,team_0_cards_0_name,team_0_cards_1_name,team_0_cards_2_name,team_0_cards_3_name,team_0_cards_4_name,team_0_cards_5_name,team_0_cards_6_name,team_0_cards_7_name,team_0_supportCards_0_name,opponent_0_evolution_count,opponent_0_cards_0_name,opponent_0_cards_1_name,opponent_0_cards_2_name,opponent_0_cards_3_name,opponent_0_cards_4_name,opponent_0_cards_5_name,opponent_0_cards_6_name,opponent_0_cards_7_name,opponent_0_supportCards_0_name
pathOfLegend,20230518T104117.000Z,#VJP9GRP,2,#200QLJUYL,1,0,Barbarian Barrel,Cannon,Dark Prince,Electro Giant,Fire Spirit,Inferno Dragon,Lightning,Tornado,Tower Princess,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess
pathOfLegend,20230518T103726.000Z,#200QLJUYL,2,#PCGRVCLLY,1,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess,0,Lava Hound,Electro Dragon,Flying Machine,Miner,Skeleton King,Inferno Dragon,Arrows,Tombstone,Tower Princess
pathOfLegend,20230518T103337.000Z,#200QLJUYL,3,#8C8R9QY9C,1,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess,0,Cannon Cart,Royal Ghost,Bandit,Barbarian Barrel,Battle Ram,Magic Archer,Electro Wizard,Giant Snowball,Tower Princess
pathOfLegend,20230518T102905.000Z,#9VRVGRR2G,1,#200QLJUYL,0,0,Cannon Cart,Battle Ram,Bandit,Barbarian Barrel,Archer Queen,Magic Archer,Royal Ghost,Arrows,Tower Princess,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess
pathOfLegend,20230518T102312.000Z,#JRPVLGP,2,#200QLJUYL,1,0,Electro Giant,Fire Spirit,Tornado,Phoenix,Barbarian Barrel,Cannon,Golden Knight,Lightning,Tower Princess,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess
pathOfLegend,20230518T101802.000Z,#200QLJUYL,3,#Y29CY0JLL,0,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess,0,Arrows,Minion Horde,Magic Archer,Mortar,Skeleton King,Miner,Skeleton Army,Archers,Tower Princess
pathOfLegend,20230518T100815.000Z,#200QLJUYL,1,#Y0RYLG,0,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess,0,Three Musketeers,Monk,Mother Witch,Elite Barbarians,Royal Ghost,Heal Spirit,Rage,Elixir Collector,Tower Princess
pathOfLegend,20230518T090304.000Z,#200QLJUYL,2,#8U820G02Y,1,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess,0,Giant,Bats,Sparky,Musketeer,Skeleton Army,Arrows,Zap,Mini P.E.K.K.A,Tower Princess
pathOfLegend,20230517T232845.000Z,#8P2P8J0,1,#200QLJUYL,0,0,Goblin Hut,Minion Horde,Goblin Gang,Spear Goblins,Miner,Arrows,Skeleton King,Mirror,Tower Princess,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess
pathOfLegend,20230517T232526.000Z,#2LGPV8VR8,3,#200QLJUYL,1,0,Electro Giant,Barbarian Barrel,Tornado,Bomber,Golden Knight,Phoenix,Tesla,Lightning,Tower Princess,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess
