type,battleTime,team_0_tag,team_0_crowns,opponent_0_tag,opponent_0_crowns,team_0_evolution_count,team_0_cards_0_name,team_0_cards_1_name,team_0_cards_2_name,team_0_cards_3_name,team_0_cards_4_name,team_0_cards_5_name,team_0_cards_6_name,team_0_cards_7_name,team_0_supportCards_0_name,opponent_0_evolution_count,opponent_0_cards_0_name,opponent_0_cards_1_name,opponent_0_cards_2_name,opponent_0_cards_3_name,opponent_0_cards_4_name,opponent_0_cards_5_name,opponent_0_cards_6_name,opponent_0_cards_7_name,opponent_0_supportCards_0_name
pathOfLegend,20230516T190600.000Z,#YUUUCUYR9,1,#209CC2VL8,0,0,Miner,Wall Breakers,Goblins,Tornado,Valkyrie,Magic Archer,Fireball,Bomb Tower,Tower Princess,0,Miner,Guards,The Log,Poison,Ice Spirit,Archer Queen,Royal Delivery,Bomb Tower,Tower Princess
pathOfLegend,20230516T185832.000Z,#209CC2VL8,3,#9Q88QQ8QP,1,0,Skeleton Army,Miner,Goblin Barrel,Bomb Tower,The Log,Goblin Gang,Princess,Minion Horde,Tower Princess,0,Electro Giant,Earthquake,Tornado,Mirror,Phoenix,Sparky,Skeleton Army,Dark Prince,Tower Princess
pathOfLegend,20230516T184707.000Z,#220L9GC2,1,#JRPVLGP,0,0,Archer Queen,Earthquake,Guards,Royal Delivery,Cannon,Royal Hogs,Ice Spirit,The Log,Tower Princess,0,Skeleton King,Phoenix,Rascals,Poison,Goblins,Barbarian Barrel,Graveyard,Goblin Hut,Tower Princess
pathOfLegend,20230516T184015.000Z,#220L9GC2,2,#9RYCQGVCJ,1,0,Archer Queen,Earthquake,Guards,Royal Delivery,Cannon,Royal Hogs,Ice Spirit,The Log,Tower Princess,0,P.E.K.K.A,Bandit,Royal Ghost,Fireball,Electro Wizard,Magic Archer,Battle Ram,Zap,Tower Princess
pathOfLegend,20230516T182645.000Z,#220L9GC2,1,#C98PUVRRV,0,0,Archer Queen,Earthquake,Guards,Royal Delivery,Cannon,Royal Hogs,Ice Spirit,The Log,Tower Princess,0,Barbarians,Electro Wizard,Ice Wizard,Hog Rider,Fire Spirit,Miner,The Log,Knight,Tower Princess
pathOfLegend,20230516T181713.000Z,#220L9GC2,1,#809G0VQUC,0,0,Archer Queen,Earthquake,Guards,Royal Delivery,Cannon,Royal Hogs,Ice Spirit,The Log,Tower Princess,0,Skeleton King,Graveyard,Phoenix,Poison,Goblins,Giant Snowball,Goblin Hut,Rascals,Tower Princess
pathOfLegend,20230516T181148.000Z,#220L9GC2,1,#2Q9JG29RL,0,0,Archer Queen,Earthquake,Guards,Royal Delivery,Cannon,Royal Hogs,Ice Spirit,The Log,Tower Princess,0,Musketeer,Goblins,Miner,Ice Spirit,Mortar,Poison,Mighty Miner,The Log,Tower Princess
pathOfLegend,20230516T135204.000Z,#220L9GC2,1,#2U9JQQ2LL,0,0,Royal Giant,Fisherman,Electro Spirit,Hunter,Royal Ghost,Earthquake,The Log,Goblins,Tower Princess,0,Spear Goblins,Rascals,Mighty Miner,Goblin Barrel,Princess,The Log,Goblin Gang,Royal Ghost,Tower Princess
pathOfLegend,20230516T134652.000Z,#2ULGRJQJY,1,#220L9GC2,0,0,Royal Giant,Monk,Fireball,The Log,Electro Spirit,Phoenix,Mother Witch,Fisherman,Tower Princess,0,Royal Giant,Fisherman,Electro Spirit,Hunter,Royal Ghost,Earthquake,The Log,Goblins,Tower Princess
pathOfLegend,20230516T134253.000Z,#JL8VPYU8J,2,#220L9GC2,1,0,Ice Golem,Hog Rider,Zap,Tesla,Freeze,Minions,Bomber,Elite Barbarians,Tower Princess,0,Royal Giant,Fisherman,Electro Spirit,Hunter,Royal Ghost,Earthquake,The Log,Goblins,Tower Princess
pathOfLegend,20230516T133920.000Z,#220L9GC2,3,#GJL0CJPCC,0,0,Royal Giant,Fisherman,Electro Spirit,Hunter,Royal Ghost,Earthquake,The Log,Goblins,Tower Princess,0,Electro Giant,Golden Knight,Lightning,Barbarian Barrel,Phoenix,Tornado,Cannon,Mother Witch,Tower Princess
pathOfLegend,20230516T133606.000Z,#220L9GC2,1,#8GP2VV90,0,0,Royal Giant,Fisherman,Electro Spirit,Hunter,Royal Ghost,Earthquake,The Log,Goblins,Tower Princess,0,Musketeer,The Log,Hog Rider,Mighty Miner,Guards,Mortar,Ice Spirit,Earthquake,Tower Princess
pathOfLegend,20230516T133210.000Z,#220L9GC2,3,#2QRJU99QQ,0,0,Royal Giant,Fisherman,Electro Spirit,Hunter,Royal Ghost,Earthquake,The Log,Goblins,Tower Princess,0,Princess,Goblins,Ice Spirit,The Log,Goblin Barrel,Rocket,Cannon,Mighty Miner,Tower Princess
pathOfLegend,20230516T132957.000Z,#990RYC9PU,3,#220L9GC2,0,0,Heal Spirit,Archer Queen,Elite Barbarians,Royal Ghost,Battle Ram,Magic Archer,Bandit,The Log,Tower Princess,0,Royal Giant,Fisherman,Electro Spirit,Hunter,Royal Ghost,Earthquake,The Log,Goblins,Tower Princess
pathOfLegend,20230516T132701.000Z,#9GGGQP2G,1,#220L9GC2,0,0,Mega Knight,Giant Snowball,Zappies,Balloon,Archer Queen,Poison,Lumberjack,Mother Witch,Tower Princess,0,Royal Giant,Fisherman,Electro Spirit,Hunter,Royal Ghost,Earthquake,The Log,Goblins,Tower Princess
