type,battleTime,team_0_tag,team_0_crowns,opponent_0_tag,opponent_0_crowns,team_0_evolution_count,team_0_cards_0_name,team_0_cards_1_name,team_0_cards_2_name,team_0_cards_3_name,team_0_cards_4_name,team_0_cards_5_name,team_0_cards_6_name,team_0_cards_7_name,team_0_supportCards_0_name,opponent_0_evolution_count,opponent_0_cards_0_name,opponent_0_cards_1_name,opponent_0_cards_2_name,opponent_0_cards_3_name,opponent_0_cards_4_name,opponent_0_cards_5_name,opponent_0_cards_6_name,opponent_0_cards_7_name,opponent_0_supportCards_0_name
pathOfLegend,20240306T101108.000Z,#2002G90JR,1,#2JGRR2QCL,0,2,Evol Bomber,Evol Wall Breakers,Goblin Drill,Bomb Tower,Little Prince,Poison,Guards,Royal Delivery,Cannoneer,2,Evol Skeletons,Evol Wall Breakers,The Log,Little Prince,Miner,Tesla,Poison,Fire Spirit,Cannoneer
pathOfLegend,20240306T100504.000Z,#9PLLJQPCU,1,#2002G90JR,0,2,Evol Royal Recruits,Evol Skeletons,Mighty Miner,Goblin Gang,Dart Goblin,Wall Breakers,Skeleton Barrel,Arrows,Tower Princess,2,Evol Bomber,Evol Wall Breakers,Goblin Drill,Bomb Tower,Little Prince,Poison,Guards,Royal Delivery,Cannoneer
pathOfLegend,20240306T094803.000Z,#2002G90JR,2,#C909UYPC,1,2,Evol Bomber,Evol Wall Breakers,Goblin Drill,Bomb Tower,Little Prince,Poison,Guards,Royal Delivery,Cannoneer,2,Evol Barbarians,Evol Tesla,Phoenix,Fireball,Lava Hound,Balloon,Skeleton Dragons,Little Prince,Tower Princess
pathOfLegend,20240306T094250.000Z,#2002G90JR,1,#PQVQ29JJ,0,2,Evol Bomber,Evol Wall Breakers,Goblin Drill,Bomb Tower,Little Prince,Poison,Guards,Royal Delivery,Cannoneer,2,Evol Skeletons,Evol Barbarians,Graveyard,Freeze,Baby Dragon,Inferno Dragon,Bowler,Tornado,Tower Princess
pathOfLegend,20240306T093853.000Z,#2002G90JR,2,#2RGPQRVYG,1,2,Evol Bomber,Evol Wall Breakers,Goblin Drill,Bomb Tower,Little Prince,Poison,Guards,Royal Delivery,Cannoneer,2,Evol Royal Recruits,Evol Wall Breakers,Mega Knight,Prince,Archer Queen,Bandit,Arrows,Zap,Tower Princess
pathOfLegend,20240306T113405.000Z,#9RYCQGVCJ,1,#202GUYUP,0,2,Evol Valkyrie,Evol Skeletons,Magic Archer,Golden Knight,Goblin Drill,Bomb Tower,Tornado,Poison,Cannoneer,2,Evol Archers,Evol Bomber,Barbarian Barrel,Bowler,Lightning,Tornado,Electro Giant,Cannon,Tower Princess
pathOfLegend,20240306T113017.000Z,#J8QC9RVC,1,#202GUYUP,0,2,Evol Bomber,Evol Skeletons,Bandit,Goblin Drill,Poison,Inferno Tower,Ice Spirit,The Log,Cannoneer,2,Evol Wall Breakers,Evol Knight,Spear Goblins,Tornado,Magic Archer,Bomb Tower,Miner,The Log,Tower Princess
pathOfLegend,20240306T112447.000Z,#202GUYUP,1,#9PLLJQPCU,0,2,Evol Wall Breakers,Evol Knight,Spear Goblins,Tornado,Magic Archer,Bomb Tower,Miner,The Log,Tower Princess,2,Evol Royal Recruits,Evol Skeletons,Mighty Miner,Goblin Gang,Firecracker,Wall Breakers,Skeleton Barrel,Arrows,Tower Princess
pathOfLegend,20240306T111947.000Z,#202GUYUP,1,#9JY2RRQL,0,2,Evol Skeletons,Evol Bomber,Bomb Tower,Tornado,Poison,Goblin Drill,Phoenix,Golden Knight,Tower Princess,2,Evol Wall Breakers,Evol Tesla,Goblin Drill,Little Prince,Poison,Fire Spirit,Giant Snowball,Guards,Cannoneer
pathOfLegend,20240306T110814.000Z,#202GUYUP,1,#LYVL99JV,0,2,Evol Skeletons,Evol Bomber,Bomb Tower,Tornado,Poison,Goblin Drill,Phoenix,Golden Knight,Tower Princess,2,Evol Mortar,Evol Knight,Goblin Gang,Fireball,Musketeer,Skeleton Barrel,Spear Goblins,The Log,Tower Princess
