type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20230213T105827.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,5,eventDeck,#2JCUC8YP,AZE | Farid,7500,1,#QUGUJ0V2,The Expendables,16000026,,3,0,The Log,3,6,Lightning,6,9,Goblin Barrel,6,9,Archers,11,14,Ice Spirit,11,14,Elixir Collector,9,12,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y29RQJG8,Amria,5801,0,#8QY8L828,RANCHI PUNKS ™,16000059,,3,0,Lightning,6,9,Archers,11,14,Goblin Hut,9,12,The Log,3,6,Furnace,9,12,Earthquake,9,12,Monk,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T105437.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,4,eventDeck,#2JCUC8YP,AZE | Farid,7500,1,#QUGUJ0V2,The Expendables,16000026,,3,0,The Log,3,6,Lightning,6,9,Goblin Barrel,6,9,Archers,11,14,Ice Spirit,11,14,Elixir Collector,9,12,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#908R9C80R,errikos chas,5453,0,#GU8RU8V0,6 EPAL,16000086,,3,0,Mega Knight,3,6,Skeleton Army,6,9,Lightning,6,9,Executioner,6,9,Minion Horde,11,14,Prince,6,9,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T105014.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,4,eventDeck,#2JCUC8YP,AZE | Farid,7500,0,#QUGUJ0V2,The Expendables,16000026,,3,0,The Log,3,6,Lightning,6,9,Cannon,11,14,Hog Rider,9,12,Ice Spirit,11,14,Skeletons,11,14,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G9Q9JJ98P,winterfell,5672,1,#QQR2R9PQ,Agile ROYALE'S,16000059,,3,0,Royal Ghost,3,6,Ice Spirit,11,14,The Log,3,6,Poison,6,9,Electro Spirit,11,14,Fire Spirit,11,14,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T104652.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,3,eventDeck,#2JCUC8YP,AZE | Farid,7500,1,#QUGUJ0V2,The Expendables,16000026,,3,0,The Log,3,6,Lightning,6,9,Cannon,11,14,Hog Rider,9,12,Ice Spirit,11,14,Skeletons,11,14,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2V082C00,Carnnage,7432,0,#L22C8208,The Last Chance,16000090,,3,0,Ice Spirit,11,14,Skeletons,11,14,Arrows,11,14,Lightning,6,9,Bats,11,14,Electro Spirit,11,14,Royal Delivery,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T103908.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,3,eventDeck,#2JCUC8YP,AZE | Farid,7500,0,#QUGUJ0V2,The Expendables,16000026,,3,0,The Log,3,6,Lightning,6,9,Tesla,11,14,Hog Rider,9,12,Ice Spirit,11,14,Skeleton Army,6,9,Guards,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#880QPG99,jhon snow,6704,3,#LU2J2PVU,The homies crew,16000029,,3,0,Golem,6,9,Tornado,6,9,Electro Dragon,6,9,Barbarian Barrel,6,9,Phoenix,3,6,Lightning,6,9,Dark Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T103556.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,2,eventDeck,#2JCUC8YP,AZE | Farid,7500,1,#QUGUJ0V2,The Expendables,16000026,,3,0,The Log,3,6,Lightning,6,9,Tesla,11,14,Hog Rider,9,12,Ice Spirit,11,14,Skeleton Army,6,9,Guards,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UJULJGQJ,oyon,5086,0,#Q2RU8YLG,Royal Town,16000012,,3,0,Tombstone,9,12,Ice Spirit,11,14,Fireball,9,12,Skeletons,11,14,Golden Knight,1,4,Dart Goblin,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T103202.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,1,eventDeck,#2JCUC8YP,AZE | Farid,7500,1,#QUGUJ0V2,The Expendables,16000026,,3,0,The Log,3,6,Lightning,6,9,Tesla,11,14,Hog Rider,9,12,Ice Spirit,11,14,Skeleton Army,6,9,Guards,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GCLGLPY2R,Aref,6125,0,#QYLCVQVU,YAKUZA,16000120,,3,0,Balloon,6,9,Lightning,6,9,Mega Knight,3,6,Rage,6,9,Valkyrie,9,12,Monk,1,4,Wizard,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T102813.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,0,eventDeck,#2JCUC8YP,AZE | Farid,7500,2,#QUGUJ0V2,The Expendables,16000026,,3,0,The Log,3,6,Lightning,6,9,Tesla,11,14,Hog Rider,9,12,Ice Spirit,11,14,Skeleton Army,6,9,Guards,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C902JQJLY,Mr stickyclam,5722,0,#LV9LR0LG,Ganja Gang Uk,16000029,,3,0,Mega Knight,3,6,Royal Ghost,3,6,Mini P.E.K.K.A,9,12,Barbarian Barrel,6,9,Minions,11,14,Lightning,6,9,Baby Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T102042.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,7,eventDeck,#2JCUC8YP,AZE | Farid,7500,3,#QUGUJ0V2,The Expendables,16000026,,3,0,The Log,3,6,Lightning,6,9,Tesla,11,14,Hog Rider,9,12,Ice Spirit,11,14,Skeleton Army,6,9,Guards,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VYCV8L9,Jon,5338,0,#8RVY2YU9,Україна,16000088,,3,0,Princess,3,6,The Log,3,6,Goblin Barrel,6,9,Rocket,9,12,Bats,11,14,Royal Ghost,3,6,Monk,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T101737.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,6,eventDeck,#2JCUC8YP,AZE | Farid,7500,3,#QUGUJ0V2,The Expendables,16000026,,3,0,The Log,3,6,Lightning,6,9,Tesla,11,14,Hog Rider,9,12,Ice Spirit,11,14,Skeleton Army,6,9,Guards,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YPULJ8R,Bokriem,6112,0,#9CPG22GR,Afrikaans x,16000044,,3,0,Phoenix,3,6,Wall Breakers,6,9,Goblin Gang,11,14,Poison,6,9,Executioner,6,9,Hog Rider,9,12,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T101419.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,5,eventDeck,#2JCUC8YP,AZE | Farid,7500,1,#QUGUJ0V2,The Expendables,16000026,,3,0,The Log,3,6,Lightning,6,9,Tesla,11,14,Hog Rider,9,12,Ice Spirit,11,14,Skeleton Army,6,9,Guards,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L8JGY98,LANGUIJAMAICAN,6329,0,#2JC89JJ,Gascon Furioso,16000124,,3,0,P.E.K.K.A,6,9,Executioner,6,9,Arrows,11,14,Battle Ram,9,12,Wizard,9,12,The Log,3,6,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T101051.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,4,eventDeck,#2JCUC8YP,AZE | Farid,7500,3,#QUGUJ0V2,The Expendables,16000026,,3,0,The Log,3,6,Lightning,6,9,Tesla,11,14,Hog Rider,9,12,Ice Spirit,11,14,Skeleton Army,6,9,Guards,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LR0G2U2,@BULL_GANZA2@,6010,0,#9Q0L0GLP,BLAK OPS,16000081,,3,0,Monk,1,4,Elixir Golem,9,12,Battle Healer,9,12,Fireball,9,12,Rage,6,9,Inferno Dragon,3,6,Electro Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T100735.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,3,eventDeck,#2JCUC8YP,AZE | Farid,7500,1,#QUGUJ0V2,The Expendables,16000026,,3,0,The Log,3,6,Lightning,6,9,Tesla,11,14,Hog Rider,9,12,Ice Spirit,11,14,Skeleton Army,6,9,Guards,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LVUQLLP,Hasanfrt,6530,0,#P8JQRVP,DoCToRs,16000030,,3,0,Cannon,11,14,Ram Rider,3,6,Poison,6,9,Monk,1,4,The Log,3,6,Ice Golem,9,12,Ice Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T100351.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,2,eventDeck,#2JCUC8YP,AZE | Farid,7500,1,#QUGUJ0V2,The Expendables,16000026,,3,0,The Log,3,6,Lightning,6,9,Tesla,11,14,Hog Rider,9,12,Ice Spirit,11,14,Skeleton Army,6,9,Guards,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QLURVQQ,ازعاج,5209,0,#Q8QPCGU2,ابناء هيثم,16000136,,3,0,Goblin Gang,11,14,Arrows,11,14,Skeleton Barrel,11,14,Balloon,6,9,Princess,3,6,Valkyrie,9,12,Goblin Hut,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T095921.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,1,eventDeck,#2JCUC8YP,AZE | Farid,7500,1,#QUGUJ0V2,The Expendables,16000026,,3,0,The Log,3,6,Arrows,11,14,Fireball,9,12,Hog Rider,9,12,Ice Spirit,11,14,Skeleton Army,6,9,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CCU8UY8,Sayyad,7022,0,#2VGGQCGQ,CLASH PROS™,16000034,,3,0,Bats,11,14,Lightning,6,9,Battle Ram,9,12,Furnace,9,12,Monk,1,4,Baby Dragon,6,9,Rascals,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boatBattle,20230112T134251.000Z,,54000046,Legendary Arena,72000266,ClanWar_BoatBattle,,collection,#2JCUC8YP,AZE | Farid,7500,3,#QUGUJ0V2,The Expendables,16000026,Giant,12,12,Dark Prince,9,9,Prince,9,9,Zap,14,14,Poison,9,9,Miner,6,6,Guards,9,9,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CYJL8P222,Plague Dr.,,0,#QUQCURYV,T.H.O.C.,16000105,Baby Dragon,3,9,Knight,7,14,Musketeer,5,12,Battle Ram,4,12,Skeleton Army,3,9,Valkyrie,4,12,Archers,6,14,Fireball,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
