type,battleTime,team_0_tag,team_0_crowns,opponent_0_tag,opponent_0_crowns,team_0_evolution_count,team_0_cards_0_name,team_0_cards_1_name,team_0_cards_2_name,team_0_cards_3_name,team_0_cards_4_name,team_0_cards_5_name,team_0_cards_6_name,team_0_cards_7_name,team_0_supportCards_0_name,opponent_0_evolution_count,opponent_0_cards_0_name,opponent_0_cards_1_name,opponent_0_cards_2_name,opponent_0_cards_3_name,opponent_0_cards_4_name,opponent_0_cards_5_name,opponent_0_cards_6_name,opponent_0_cards_7_name,opponent_0_supportCards_0_name
pathOfLegend,20230510T072323.000Z,#200QLJUYL,2,#QVRGQLYG,0,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess,0,Phoenix,Rascals,Skeleton King,Goblins,Goblin Hut,Poison,Barbarian Barrel,Graveyard,Tower Princess
pathOfLegend,20230510T071755.000Z,#90Q9LLR92,1,#200QLJUYL,0,0,Graveyard,Phoenix,Goblins,Poison,Skeleton King,Freeze,Goblin Hut,Cannon,Tower Princess,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess
pathOfLegend,20230510T061602.000Z,#200QLJUYL,2,#PPRUPPCVY,1,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess,0,Bowler,Freeze,Barbarian Barrel,Lumberjack,Phoenix,Tornado,Balloon,Electro Dragon,Tower Princess
pathOfLegend,20230510T055904.000Z,#YP9VPGUUG,1,#200QLJUYL,0,0,Rage,Balloon,Miner,Inferno Dragon,Fireball,Ice Golem,Goblin Cage,Phoenix,Tower Princess,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess
pathOfLegend,20230510T055207.000Z,#200QLJUYL,2,#29R9QL89,1,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess,0,Executioner,Tornado,The Log,Valkyrie,Rocket,Goblins,Hog Rider,Ice Spirit,Tower Princess
pathOfLegend,20230510T054342.000Z,#200QLJUYL,1,#88P2PLUG0,0,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess,0,Goblin Gang,Tesla,Balloon,Royal Ghost,Giant Skeleton,Dart Goblin,Fireball,The Log,Tower Princess
pathOfLegend,20230510T053950.000Z,#200QLJUYL,1,#Q8G9R28UY,0,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess,0,Golem,Elite Barbarians,Electro Dragon,Phoenix,Lumberjack,Tornado,Elixir Collector,Barbarian Barrel,Tower Princess
pathOfLegend,20230510T053324.000Z,#200QLJUYL,3,#RRGLGLU8,1,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess,0,Three Musketeers,Arrows,Goblin Gang,Elixir Collector,Minion Horde,Bats,Giant,Battle Ram,Tower Princess
pathOfLegend,20230510T052912.000Z,#200QLJUYL,1,#P2CLCV8,0,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess,0,Goblin Barrel,Goblins,Spear Goblins,The Log,Princess,Cannon,Mighty Miner,Rocket,Tower Princess
pathOfLegend,20230510T052318.000Z,#LYQ09PQQ,3,#200QLJUYL,0,0,Giant Skeleton,Fisherman,Skeleton King,Hunter,Arrows,Giant Snowball,Zappies,Graveyard,Tower Princess,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess
pathOfLegend,20230510T051854.000Z,#P9P2GL8,2,#200QLJUYL,1,0,Hog Rider,The Log,Mighty Miner,Musketeer,Earthquake,Mortar,Goblins,Ice Spirit,Tower Princess,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess
pathOfLegend,20230510T051531.000Z,#2VGGV2YYQ,1,#200QLJUYL,0,0,Knight,Miner,Bomb Tower,Wall Breakers,Skeletons,Magic Archer,Tornado,Spear Goblins,Tower Princess,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess
pathOfLegend,20230510T051011.000Z,#200QLJUYL,3,#PPRUPPCVY,0,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess,0,Fisherman,Goblins,Fireball,Archers,Phoenix,Monk,Royal Giant,The Log,Tower Princess
pathOfLegend,20230510T050644.000Z,#8992GULYJ,1,#200QLJUYL,0,0,Princess,The Log,Knight,Goblin Barrel,Goblins,Dart Goblin,Cannon,Ice Spirit,Tower Princess,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess
pathOfLegend,20230510T045831.000Z,#P0RU82VCU,3,#200QLJUYL,1,0,Ice Spirit,Lumberjack,Ice Golem,Barbarian Barrel,Musketeer,Giant Snowball,Balloon,Bats,Tower Princess,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess
pathOfLegend,20230510T045456.000Z,#GVPUJULPG,1,#200QLJUYL,0,0,Archers,Skeletons,Tesla,Fireball,Knight,Ice Spirit,X-Bow,The Log,Tower Princess,0,Arrows,Bandit,Dark Prince,Giant Skeleton,Inferno Dragon,Golem,Minion Horde,Miner,Tower Princess
pathOfLegend,20230510T045041.000Z,#200YCC8CG,1,#2PJLRR0U,0,0,Ice Spirit,Goblins,Hog Rider,Valkyrie,Rocket,Tornado,Executioner,The Log,Tower Princess,0,Skeletons,Fire Spirit,Bomb Tower,Royal Delivery,Tornado,Goblin Drill,Monk,Magic Archer,Tower Princess
pathOfLegend,20230510T044602.000Z,#200YCC8CG,1,#PULPCPC8U,0,0,Ice Spirit,Goblins,Hog Rider,Valkyrie,Rocket,Tornado,Executioner,The Log,Tower Princess,0,Goblin Gang,Princess,Rocket,Electro Spirit,The Log,Goblin Barrel,Inferno Tower,Knight,Tower Princess
