type,battleTime,team_0_tag,team_0_crowns,opponent_0_tag,opponent_0_crowns,team_0_evolution_count,team_0_cards_0_name,team_0_cards_1_name,team_0_cards_2_name,team_0_cards_3_name,team_0_cards_4_name,team_0_cards_5_name,team_0_cards_6_name,team_0_cards_7_name,team_0_supportCards_0_name,opponent_0_evolution_count,opponent_0_cards_0_name,opponent_0_cards_1_name,opponent_0_cards_2_name,opponent_0_cards_3_name,opponent_0_cards_4_name,opponent_0_cards_5_name,opponent_0_cards_6_name,opponent_0_cards_7_name,opponent_0_supportCards_0_name
pathOfLegend,20240215T190646.000Z,#20C99CPCP,3,#999CU8,0,2,Evol Knight,Evol Firecracker,Ice Spirit,Bomb Tower,Goblins,Hog Rider,The Log,Fireball,Tower Princess,2,Evol Royal Recruits,Evol Wall Breakers,Goblin Gang,Skeleton Barrel,Firecracker,Goblins,Mighty Miner,Arrows,Tower Princess
pathOfLegend,20240215T190430.000Z,#UUUJPJ28V,3,#20C99CPCP,0,2,Evol Bats,Evol Barbarians,Arrows,Little Prince,Freeze,Inferno Dragon,Balloon,Giant Skeleton,Tower Princess,2,Evol Knight,Evol Firecracker,Ice Spirit,Bomb Tower,Goblins,Hog Rider,The Log,Fireball,Tower Princess
pathOfLegend,20240215T180315.000Z,#8CCU9RL22,2,#20C99CPCP,1,2,Evol Archers,Evol Knight,Graveyard,Arrows,Bowler,Giant Snowball,Giant,Minions,Tower Princess,2,Evol Knight,Evol Firecracker,Ice Spirit,Bomb Tower,Goblins,Hog Rider,The Log,Fireball,Tower Princess
pathOfLegend,20240215T160232.000Z,#20C99CPCP,1,#UJ0GPRL0,0,2,Evol Knight,Evol Firecracker,Ice Spirit,Bomb Tower,Goblins,Hog Rider,The Log,Fireball,Tower Princess,2,Evol Knight,Evol Barbarians,Electro Spirit,Tesla,Princess,Goblin Barrel,Rocket,The Log,Tower Princess
pathOfLegend,20240215T155228.000Z,#20C99CPCP,1,#9JCJ0L9R,0,2,Evol Knight,Evol Firecracker,Ice Spirit,Bomb Tower,Goblins,Hog Rider,The Log,Fireball,Tower Princess,2,Evol Knight,Evol Skeletons,The Log,Rocket,Executioner,Tornado,Ice Spirit,Hog Rider,Tower Princess
pathOfLegend,20240215T150956.000Z,#20C99CPCP,1,#PQLGJ90Y,0,2,Evol Knight,Evol Firecracker,Ice Spirit,Bomb Tower,Goblins,Hog Rider,The Log,Fireball,Tower Princess,2,Evol Bomber,Evol Skeletons,Tesla,The Log,Electro Spirit,Earthquake,Royal Hogs,Royal Delivery,Tower Princess
pathOfLegend,20240215T150643.000Z,#YYLVLC0G9,1,#20C99CPCP,0,2,Evol Knight,Evol Wall Breakers,Miner,Goblins,Poison,Bomb Tower,Mother Witch,Bats,Tower Princess,2,Evol Knight,Evol Firecracker,Ice Spirit,Bomb Tower,Goblins,Hog Rider,The Log,Fireball,Tower Princess
pathOfLegend,20240215T150209.000Z,#PYCVUURP,1,#20C99CPCP,0,2,Evol Knight,Evol Bomber,Little Prince,Miner,The Log,Tesla,Poison,Tornado,Cannoneer,2,Evol Knight,Evol Firecracker,Ice Spirit,Bomb Tower,Goblins,Hog Rider,The Log,Fireball,Tower Princess
pathOfLegend,20240215T145810.000Z,#PRLV0QQPJ,1,#20C99CPCP,0,2,Evol Knight,Evol Skeletons,Miner,Magic Archer,Wall Breakers,Tornado,The Log,Bomb Tower,Tower Princess,2,Evol Knight,Evol Firecracker,Ice Spirit,Bomb Tower,Goblins,Hog Rider,The Log,Fireball,Tower Princess
pathOfLegend,20240215T122036.000Z,#20C99CPCP,1,#P0LQQ0L0,0,2,Evol Knight,Evol Firecracker,Ice Spirit,Bomb Tower,Goblins,Hog Rider,The Log,Fireball,Tower Princess,2,Evol Royal Recruits,Evol Wall Breakers,Goblin Gang,Skeleton Barrel,Goblins,Dart Goblin,Mighty Miner,Arrows,Tower Princess
