type,battleTime,team_0_tag,team_0_crowns,opponent_0_tag,opponent_0_crowns,team_0_evolution_count,team_0_cards_0_name,team_0_cards_1_name,team_0_cards_2_name,team_0_cards_3_name,team_0_cards_4_name,team_0_cards_5_name,team_0_cards_6_name,team_0_cards_7_name,team_0_supportCards_0_name,opponent_0_evolution_count,opponent_0_cards_0_name,opponent_0_cards_1_name,opponent_0_cards_2_name,opponent_0_cards_3_name,opponent_0_cards_4_name,opponent_0_cards_5_name,opponent_0_cards_6_name,opponent_0_cards_7_name,opponent_0_supportCards_0_name
pathOfLegend,20240210T140643.000Z,#202GUYUP,1,#CYGQ28QJL,0,2,Evol Skeletons,Evol Bomber,Royal Hogs,Earthquake,Archer Queen,Royal Delivery,Cannon,The Log,Tower Princess,2,Evol Skeletons,Evol Bomber,Archer Queen,Royal Hogs,Cannon,Electro Spirit,The Log,Royal Delivery,Tower Princess
pathOfLegend,20240210T135540.000Z,#2JRP8UYP,1,#202GUYUP,0,2,Evol Bomber,Evol Knight,Poison,Baby Dragon,Little Prince,Tombstone,Graveyard,Tornado,Cannoneer,2,Evol Bomber,Evol Skeletons,Mighty Miner,Ice Spirit,Poison,Miner,Tornado,Tesla,Tower Princess
pathOfLegend,20240210T132954.000Z,#202GUYUP,1,#80CCQQJCY,0,2,Evol Bomber,Evol Skeletons,Mighty Miner,Ice Spirit,Poison,Miner,Tornado,Tesla,Tower Princess,2,Evol Skeletons,Evol Bomber,Little Prince,The Log,Royal Hogs,Earthquake,Ice Spirit,Royal Delivery,Cannoneer
pathOfLegend,20240210T132404.000Z,#UUQRRPQUG,1,#202GUYUP,0,2,Evol Knight,Evol Archers,Barbarian Barrel,Tornado,Baby Dragon,Poison,Tombstone,Graveyard,Tower Princess,2,Evol Knight,Evol Firecracker,Hog Rider,Earthquake,Electro Spirit,Skeletons,Tesla,The Log,Tower Princess
pathOfLegend,20240210T131920.000Z,#82C2LUUL,1,#202GUYUP,0,2,Evol Bomber,Evol Skeletons,Mighty Miner,Ice Spirit,Poison,Miner,Tornado,Tesla,Tower Princess,2,Evol Knight,Evol Firecracker,Hog Rider,Earthquake,Electro Spirit,Skeletons,Tesla,The Log,Tower Princess
pathOfLegend,20240210T152733.000Z,#209PRPVJ8,2,#PYGGRCGV,1,1,Evol Barbarians,Princess,Wall Breakers,Minion Horde,The Log,Miner,Goblin Gang,Goblin Barrel,Tower Princess,2,Evol Royal Giant,Evol Bomber,Fireball,Hunter,Fisherman,Rage,Skeletons,Sparky,Tower Princess
pathOfLegend,20240210T152350.000Z,#209PRPVJ8,1,#LV080L8C,0,1,Evol Barbarians,Princess,Wall Breakers,Minion Horde,The Log,Miner,Goblin Gang,Goblin Barrel,Tower Princess,2,Evol Royal Giant,Evol Bomber,Goblins,Fireball,Electro Spirit,Phoenix,The Log,Fisherman,Tower Princess
pathOfLegend,20240210T151905.000Z,#209PRPVJ8,2,#YVQYJU090,0,1,Evol Barbarians,Princess,Wall Breakers,Minion Horde,The Log,Miner,Goblin Gang,Goblin Barrel,Tower Princess,2,Evol Archers,Evol Bomber,Bandit,Bats,Mega Knight,Arrows,Prince,Miner,Tower Princess
pathOfLegend,20240210T151514.000Z,#209PRPVJ8,1,#2JRG2CUG,0,1,Evol Barbarians,Princess,Wall Breakers,Minion Horde,The Log,Miner,Goblin Gang,Goblin Barrel,Tower Princess,2,Evol Royal Recruits,Evol Archers,Goblin Giant,Fisherman,Bowler,Minions,Fireball,Rage,Tower Princess
pathOfLegend,20240210T151152.000Z,#209PRPVJ8,2,#G09LV88C,1,1,Evol Barbarians,Princess,Wall Breakers,Minion Horde,The Log,Miner,Goblin Gang,Goblin Barrel,Tower Princess,2,Evol Firecracker,Evol Skeletons,Hog Rider,Earthquake,Mighty Miner,Ice Spirit,Tesla,The Log,Tower Princess
pathOfLegend,20240210T145538.000Z,#209PRPVJ8,2,#P0RG0Q9CL,1,1,Evol Barbarians,Princess,Wall Breakers,Minion Horde,The Log,Miner,Goblin Gang,Goblin Barrel,Tower Princess,1,Evol Barbarians,Battle Healer,Skeleton Dragons,Electro Dragon,Golem,Barbarian Barrel,Elixir Collector,Tornado,Tower Princess
pathOfLegend,20240210T142842.000Z,#209PRPVJ8,2,#VQVVJPLQ,1,1,Evol Barbarians,Princess,Wall Breakers,Minion Horde,The Log,Miner,Goblin Gang,Goblin Barrel,Tower Princess,2,Evol Skeletons,Evol Ice Spirit,Zap,Balloon,Mighty Miner,Tornado,Executioner,Miner,Tower Princess
pathOfLegend,20240210T142440.000Z,#209PRPVJ8,1,#R8GCCLYVY,0,1,Evol Barbarians,Princess,Wall Breakers,Minion Horde,The Log,Miner,Goblin Gang,Goblin Barrel,Tower Princess,1,Evol Skeletons,X-Bow,Mini P.E.K.K.A,Musketeer,Electro Spirit,Ice Golem,Rocket,The Log,Tower Princess
pathOfLegend,20240210T142107.000Z,#209PRPVJ8,1,#8YGULC9RY,0,1,Evol Barbarians,Princess,Wall Breakers,Minion Horde,The Log,Miner,Goblin Gang,Goblin Barrel,Tower Princess,1,Evol Knight,Inferno Tower,Skeleton Army,Dart Goblin,Princess,Skeleton Barrel,Goblin Barrel,The Log,Tower Princess
pathOfLegend,20240210T121824.000Z,#PLQCY9G9U,2,#209PRPVJ8,1,2,Evol Royal Recruits,Evol Royal Giant,Mother Witch,Arrows,Fisherman,Skeleton Dragons,Rage,Bowler,Tower Princess,2,Evol Barbarians,Evol Archers,Wall Breakers,Minion Horde,The Log,Miner,Goblin Gang,Goblin Barrel,Tower Princess
pathOfLegend,20240210T121155.000Z,#209PRPVJ8,3,#P8Y02GLR,2,2,Evol Barbarians,Evol Archers,Wall Breakers,Minion Horde,The Log,Miner,Goblin Gang,Goblin Barrel,Tower Princess,2,Evol Skeletons,Evol Bomber,Balloon,Inferno Dragon,Lava Hound,Arrows,Minions,Miner,Tower Princess
pathOfLegend,20240210T120357.000Z,#2JLV0JQL,1,#209PRPVJ8,0,2,Evol Royal Giant,Evol Bomber,Little Prince,Lumberjack,Fisherman,Guards,Arrows,Giant Snowball,Tower Princess,1,Evol Barbarians,Goblin Gang,Wall Breakers,Minion Horde,The Log,Miner,Princess,Goblin Barrel,Tower Princess
pathOfLegend,20240210T115521.000Z,#209PRPVJ8,1,#PJJ8RRUJ8,0,1,Evol Barbarians,Goblin Gang,Wall Breakers,Minion Horde,The Log,Miner,Princess,Goblin Barrel,Tower Princess,1,Evol Skeletons,Monk,Minions,Tornado,Cannon,Hog Rider,Magic Archer,The Log,Tower Princess
pathOfLegend,20240210T114956.000Z,#209PRPVJ8,2,#2VJYUY2CC,0,1,Evol Barbarians,Goblin Gang,Wall Breakers,Minion Horde,The Log,Miner,Princess,Goblin Barrel,Tower Princess,1,Evol Bats,Wall Breakers,Mega Knight,Prince,Archer Queen,Bandit,Arrows,Zap,Tower Princess
pathOfLegend,20240210T105626.000Z,#208ULJ0JC,2,#209PRPVJ8,1,2,Evol Archers,Evol Bats,Little Prince,Bowler,Giant,Giant Snowball,Arrows,Graveyard,Tower Princess,1,Evol Barbarians,Goblin Gang,Wall Breakers,Minion Horde,The Log,Miner,Princess,Goblin Barrel,Tower Princess
pathOfLegend,20240210T105136.000Z,#8CCL2RVV,1,#209PRPVJ8,0,2,Evol Mortar,Evol Royal Recruits,Skeleton Dragons,Minion Horde,Skeleton King,Goblin Gang,Miner,Arrows,Tower Princess,1,Evol Barbarians,Goblin Gang,Wall Breakers,Minion Horde,The Log,Miner,Princess,Goblin Barrel,Tower Princess
pathOfLegend,20240210T103916.000Z,#209PRPVJ8,2,#CR8RJP9RQ,1,1,Evol Barbarians,Goblin Gang,Wall Breakers,Minion Horde,The Log,Miner,Princess,Goblin Barrel,Tower Princess,1,Evol Knight,Ice Spirit,Princess,Goblin Gang,Tesla,Rocket,Goblin Barrel,The Log,Tower Princess
pathOfLegend,20240210T004345.000Z,#209RRYLVR,1,#2VJG9CQCY,0,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess,2,Evol Mortar,Evol Ice Spirit,Goblin Drill,Knight,Tornado,Executioner,Skeletons,The Log,Tower Princess
pathOfLegend,20240210T003847.000Z,#J9VLLJQPY,1,#209RRYLVR,0,2,Evol Knight,Evol Bats,Poison,Bomb Tower,Spear Goblins,The Log,Wall Breakers,Miner,Tower Princess,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess
pathOfLegend,20240210T003435.000Z,#209RRYLVR,1,#82UQRVJU,0,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess,2,Evol Skeletons,Evol Bomber,Little Prince,The Log,Royal Hogs,Earthquake,Ice Spirit,Royal Delivery,Cannoneer
pathOfLegend,20240210T003011.000Z,#CL8PC2,1,#209RRYLVR,0,2,Evol Knight,Evol Bats,Fireball,Sparky,Goblin Giant,Mini P.E.K.K.A,Rage,Minions,Tower Princess,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess
pathOfLegend,20240210T002648.000Z,#209RRYLVR,1,#9PJCCLVC,0,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess,2,Evol Knight,Evol Bomber,Elixir Collector,Royal Ghost,Bandit,Battle Ram,Hunter,Three Musketeers,Tower Princess
pathOfLegend,20240210T002318.000Z,#RVPUVVVV,1,#209RRYLVR,0,2,Evol Skeletons,Evol Bomber,Wall Breakers,Little Prince,Poison,Goblin Drill,Royal Delivery,Bomb Tower,Cannoneer,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess
pathOfLegend,20240210T001740.000Z,#209RRYLVR,3,#9JP2CYQRG,0,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess,2,Evol Bomber,Evol Knight,Barbarian Barrel,Cannon,Little Prince,Tornado,Lightning,Electro Giant,Tower Princess
pathOfLegend,20240210T001447.000Z,#2GJYRJJV9,1,#209RRYLVR,0,2,Evol Bomber,Evol Knight,Musketeer,Giant,Bowler,Giant Snowball,Arrows,Graveyard,Tower Princess,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess
pathOfLegend,20240209T171429.000Z,#209RRYLVR,1,#2PLLPVURP,0,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess,2,Evol Knight,Evol Skeletons,Little Prince,Miner,Ice Spirit,Bomb Tower,Poison,The Log,Tower Princess
pathOfLegend,20240209T170930.000Z,#9RCU0V0Y,1,#209RRYLVR,0,2,Evol Bomber,Evol Firecracker,Tornado,Goblins,Ice Spirit,Goblin Drill,Bomb Tower,Mighty Miner,Tower Princess,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess
pathOfLegend,20240209T170437.000Z,#ULLY8RVVR,1,#209RRYLVR,0,2,Evol Archers,Evol Knight,Battle Ram,Zap,Little Prince,Royal Ghost,P.E.K.K.A,Poison,Cannoneer,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess
pathOfLegend,20240209T165934.000Z,#209RRYLVR,1,#R0QULJLVR,0,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess,2,Evol Knight,Evol Skeletons,The Log,Rocket,Princess,Tesla,Goblin Barrel,Electro Spirit,Tower Princess
pathOfLegend,20240209T164321.000Z,#209RRYLVR,1,#CR828CG0G,0,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess,2,Evol Skeletons,Evol Firecracker,Hog Rider,Bomb Tower,Giant Skeleton,Earthquake,The Log,Ice Spirit,Tower Princess
pathOfLegend,20240209T163903.000Z,#2RGU9CR,1,#209RRYLVR,0,1,Evol Knight,Fireball,Barbarian Barrel,Graveyard,Inferno Dragon,Little Prince,Tornado,Bomb Tower,Tower Princess,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess
pathOfLegend,20240209T163404.000Z,#YUY92PP9,3,#209RRYLVR,0,2,Evol Bomber,Evol Knight,Tornado,Bowler,Electro Giant,Lightning,Cannon,Little Prince,Tower Princess,2,Evol Firecracker,Evol Skeletons,Earthquake,Hog Rider,Bomb Tower,Ice Spirit,The Log,Mighty Miner,Tower Princess
pathOfLegend,20240208T215617.000Z,#20GQGLCUQ,2,#9CP29LLJG,0,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess,0,Giant,Sparky,Skeleton King,Electro Wizard,Bats,Arrows,Zap,Goblin Gang,Tower Princess
pathOfLegend,20240208T215303.000Z,#20GQGLCUQ,1,#92JJQLC9R,0,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess,2,Evol Royal Giant,Evol Bomber,Phoenix,Fireball,Goblins,Fisherman,Electro Spirit,The Log,Cannoneer
pathOfLegend,20240208T214620.000Z,#20GQGLCUQ,1,#2YJP0PRVJ,0,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess,2,Evol Firecracker,Evol Bats,Zap,Skeleton Barrel,Goblin Gang,Miner,Inferno Dragon,Mega Knight,Tower Princess
pathOfLegend,20240208T214130.000Z,#20GQGLCUQ,1,#CVLYJ0R8,0,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess,2,Evol Knight,Evol Mortar,Phoenix,Arrows,Graveyard,Guards,Little Prince,Giant Snowball,Cannoneer
pathOfLegend,20240208T213624.000Z,#20GQGLCUQ,1,#90QV28PG2,0,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess,2,Evol Barbarians,Evol Bomber,Arrows,Fireball,Balloon,Mega Minion,Skeleton Dragons,Lava Hound,Tower Princess
pathOfLegend,20240208T213250.000Z,#G0LP8UVQ8,1,#20GQGLCUQ,0,2,Evol Skeletons,Evol Firecracker,Bowler,Inferno Tower,Fireball,Tornado,Goblin Drill,Royal Delivery,Tower Princess,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess
pathOfLegend,20240208T212759.000Z,#20GQGLCUQ,1,#2PGP2UGY,0,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess,2,Evol Royal Giant,Evol Archers,Electro Spirit,Fisherman,Hunter,Lightning,Royal Ghost,The Log,Tower Princess
pathOfLegend,20240208T200821.000Z,#20GQGLCUQ,2,#2L9QGQUQC,1,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess,1,Evol Barbarians,Balloon,Arrows,Fireball,Skeleton Dragons,Mega Minion,Lava Hound,Tombstone,Tower Princess
pathOfLegend,20240208T194042.000Z,#20GQGLCUQ,1,#8Y0PYCJ8,0,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess,2,Evol Knight,Evol Skeletons,Miner,Magic Archer,Wall Breakers,The Log,Tornado,Bomb Tower,Cannoneer
pathOfLegend,20240208T193524.000Z,#J2RRGC9P,1,#20GQGLCUQ,0,2,Evol Knight,Evol Bomber,Freeze,Electro Dragon,Bowler,Tornado,Balloon,Little Prince,Cannoneer,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess
pathOfLegend,20240208T192952.000Z,#20GQGLCUQ,3,#PQVL9JL,0,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess,2,Evol Royal Recruits,Evol Firecracker,Goblin Cage,Barbarian Barrel,Hog Rider,Fisherman,Fireball,Flying Machine,Tower Princess
pathOfLegend,20240208T192715.000Z,#JCGG9GGJ,1,#20GQGLCUQ,0,1,Evol Valkyrie,Mother Witch,Goblin Giant,Mini P.E.K.K.A,Minions,Sparky,Zap,Rage,Tower Princess,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess
pathOfLegend,20240208T192404.000Z,#UGCGRCR02,1,#20GQGLCUQ,0,2,Evol Bats,Evol Archers,Giant,Bowler,Night Witch,Graveyard,Giant Snowball,Arrows,Tower Princess,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess
pathOfLegend,20240208T192050.000Z,#20GQGLCUQ,1,#2002G90JR,0,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess,2,Evol Knight,Evol Skeletons,The Log,Electro Spirit,Bomb Tower,Poison,Miner,Little Prince,Cannoneer
pathOfLegend,20240208T191533.000Z,#20GQGLCUQ,1,#8QRUG8QL,0,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess,2,Evol Firecracker,Evol Ice Spirit,Lumberjack,Balloon,Inferno Dragon,Skeletons,Giant Snowball,Barbarian Barrel,Tower Princess
pathOfLegend,20240208T191041.000Z,#9GQYYJYVJ,1,#20GQGLCUQ,0,2,Evol Bomber,Evol Knight,Rage,Goblin Giant,Minions,Mini P.E.K.K.A,Arrows,Sparky,Cannoneer,1,Evol Mortar,Little Prince,Poison,Miner,Ice Spirit,Minions,The Log,Guards,Tower Princess
pathOfLegend,20240208T190321.000Z,#20GQGLCUQ,1,#UU8RQCLC,0,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess,2,Evol Bomber,Evol Knight,Elixir Collector,Three Musketeers,Little Prince,Battle Ram,Royal Ghost,Rage,Cannoneer
pathOfLegend,20240208T185851.000Z,#20GQGLCUQ,1,#92UVL8GYJ,0,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess,2,Evol Royal Recruits,Evol Firecracker,Balloon,Skeleton Barrel,Inferno Tower,Arrows,Knight,Guards,Tower Princess
pathOfLegend,20240208T185540.000Z,#RJ0LC8L8Q,1,#20GQGLCUQ,0,2,Evol Firecracker,Evol Knight,Skeletons,Hog Rider,Bomb Tower,Earthquake,Ice Spirit,The Log,Tower Princess,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess
pathOfLegend,20240208T185055.000Z,#20GQGLCUQ,1,#U20LLG29,0,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess,1,Evol Barbarians,Fireball,Arrows,Rage,Skeleton King,Night Witch,Elixir Golem,Inferno Dragon,Tower Princess
pathOfLegend,20240208T184745.000Z,#8JJQPVGU,3,#20GQGLCUQ,0,2,Evol Skeletons,Evol Bomber,Little Prince,The Log,Royal Hogs,Earthquake,Ice Spirit,Royal Delivery,Cannoneer,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess
pathOfLegend,20240208T184529.000Z,#20GQGLCUQ,1,#2JCR9LLQY,0,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess,1,Evol Knight,Poison,Ice Wizard,Graveyard,Baby Dragon,Tornado,Tombstone,Barbarian Barrel,Tower Princess
pathOfLegend,20240208T183856.000Z,#20GQGLCUQ,1,#PPV9VGUQU,0,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess,2,Evol Knight,Evol Firecracker,The Log,Ice Spirit,Hog Rider,Earthquake,Tesla,Skeletons,Tower Princess
pathOfLegend,20240208T183542.000Z,#20GQGLCUQ,1,#8YV22PCL,0,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess,2,Evol Bomber,Evol Royal Recruits,Goblin Giant,Little Prince,Fisherman,Fireball,Skeleton Dragons,Arrows,Cannoneer
pathOfLegend,20240208T172646.000Z,#20GQGLCUQ,1,#9PJ92YP9J,0,2,Evol Mortar,Evol Knight,Spear Goblins,Fireball,Musketeer,Skeleton Barrel,Goblin Gang,The Log,Tower Princess,2,Evol Mortar,Evol Knight,Goblin Gang,Spear Goblins,Fireball,Skeleton Barrel,The Log,Little Prince,Tower Princess
pathOfLegend,20240210T011511.000Z,#20J2RCLUV,1,#8P020GGPG,0,2,Evol Knight,Evol Archers,Freeze,Tornado,Bowler,Baby Dragon,Inferno Dragon,Graveyard,Tower Princess,2,Evol Archers,Evol Barbarians,Giant,Arrows,Night Witch,Electro Wizard,Balloon,Fireball,Tower Princess
pathOfLegend,20240210T004645.000Z,#20J2RCLUV,1,#89JJJURL,0,2,Evol Knight,Evol Firecracker,Goblins,Bomb Tower,The Log,Hog Rider,Earthquake,Ice Spirit,Tower Princess,2,Evol Bomber,Evol Skeletons,Wall Breakers,Little Prince,Royal Delivery,Goblin Drill,Poison,Cannon,Cannoneer
pathOfLegend,20240210T003727.000Z,#20J2RCLUV,1,#2YPQY2Q0V,0,2,Evol Knight,Evol Firecracker,Goblins,Bomb Tower,The Log,Hog Rider,Earthquake,Ice Spirit,Tower Princess,2,Evol Bomber,Evol Knight,Golem,Lumberjack,Electro Dragon,Skeleton Dragons,Tornado,Elixir Collector,Tower Princess
pathOfLegend,20240210T003411.000Z,#20J2RCLUV,1,#9PRP29GU,0,2,Evol Knight,Evol Firecracker,Goblins,Bomb Tower,The Log,Hog Rider,Earthquake,Ice Spirit,Tower Princess,2,Evol Royal Giant,Evol Bomber,Hunter,Bowler,Fisherman,Lightning,Electro Spirit,Little Prince,Tower Princess
pathOfLegend,20240210T003039.000Z,#20J2RCLUV,1,#PPVGQRJYU,0,2,Evol Knight,Evol Firecracker,Goblins,Bomb Tower,The Log,Hog Rider,Earthquake,Ice Spirit,Tower Princess,2,Evol Mortar,Evol Firecracker,Bomber,Fireball,The Log,Archer Queen,Mini P.E.K.K.A,Ice Spirit,Tower Princess
pathOfLegend,20240210T002050.000Z,#20J2RCLUV,1,#9RG0UQUJL,0,2,Evol Knight,Evol Firecracker,Goblins,Bomb Tower,The Log,Hog Rider,Earthquake,Ice Spirit,Tower Princess,2,Evol Barbarians,Evol Bomber,Monk,Tornado,Elixir Golem,Battle Healer,Inferno Dragon,Electro Dragon,Tower Princess
pathOfLegend,20240210T001618.000Z,#RYRQPJRC,1,#20J2RCLUV,0,2,Evol Mortar,Evol Knight,Little Prince,Minions,Poison,Miner,Ice Spirit,The Log,Tower Princess,2,Evol Knight,Evol Firecracker,Goblins,Bomb Tower,The Log,Hog Rider,Earthquake,Ice Spirit,Tower Princess
pathOfLegend,20240210T001113.000Z,#20J2RCLUV,1,#VJ9GP00,0,2,Evol Knight,Evol Firecracker,Goblins,Bomb Tower,The Log,Hog Rider,Earthquake,Ice Spirit,Tower Princess,2,Evol Firecracker,Evol Knight,Hog Rider,The Log,Electro Spirit,Mini P.E.K.K.A,Tesla,Fireball,Tower Princess
pathOfLegend,20240210T000446.000Z,#2J88G2CG,1,#20J2RCLUV,0,2,Evol Bomber,Evol Knight,X-Bow,Tesla,Electro Spirit,Skeletons,Fireball,The Log,Tower Princess,2,Evol Knight,Evol Firecracker,Goblins,Bomb Tower,The Log,Hog Rider,Earthquake,Ice Spirit,Tower Princess
pathOfLegend,20240209T235012.000Z,#20J2RCLUV,1,#2JP2GLVGV,0,2,Evol Knight,Evol Firecracker,Goblins,Bomb Tower,The Log,Hog Rider,Earthquake,Ice Spirit,Tower Princess,2,Evol Barbarians,Evol Archers,Hunter,Bowler,Giant Snowball,Giant,Arrows,Graveyard,Tower Princess
pathOfLegend,20240209T233447.000Z,#8CGUUVQUQ,1,#20J2RCLUV,0,2,Evol Ice Spirit,Evol Skeletons,Archer Queen,Royal Hogs,The Log,Earthquake,Bomb Tower,Royal Delivery,Tower Princess,2,Evol Knight,Evol Firecracker,Goblins,Bomb Tower,The Log,Hog Rider,Earthquake,Ice Spirit,Tower Princess
pathOfLegend,20240209T232917.000Z,#20J2RCLUV,2,#GJ80LJG,0,2,Evol Knight,Evol Firecracker,Goblins,Bomb Tower,The Log,Hog Rider,Earthquake,Ice Spirit,Tower Princess,2,Evol Knight,Evol Bomber,Inferno Dragon,Minions,Balloon,Lava Hound,Giant Snowball,Arrows,Tower Princess
pathOfLegend,20240209T232603.000Z,#2PU9R2UQ,1,#20J2RCLUV,0,1,Evol Knight,Barbarian Barrel,Poison,Baby Dragon,Graveyard,Little Prince,Tornado,Bomb Tower,Tower Princess,2,Evol Knight,Evol Firecracker,Goblins,Bomb Tower,The Log,Hog Rider,Earthquake,Ice Spirit,Tower Princess
pathOfLegend,20240209T232244.000Z,#20J2RCLUV,1,#YYV8U2YL0,0,2,Evol Knight,Evol Firecracker,Goblins,Bomb Tower,The Log,Hog Rider,Earthquake,Ice Spirit,Tower Princess,2,Evol Mortar,Evol Knight,Little Prince,Skeleton Barrel,Fireball,The Log,Spear Goblins,Goblin Gang,Tower Princess
pathOfLegend,20240209T231735.000Z,#20J2RCLUV,1,#9J9UJ29,0,2,Evol Knight,Evol Firecracker,Goblins,Bomb Tower,The Log,Hog Rider,Earthquake,Ice Spirit,Tower Princess,2,Evol Royal Recruits,Evol Firecracker,Wall Breakers,Mighty Miner,Goblins,Skeleton Barrel,Arrows,Goblin Gang,Tower Princess
pathOfLegend,20240209T013923.000Z,#20P2J8C,1,#2JC0JRL2,0,2,Evol Skeletons,Evol Bomber,Little Prince,The Log,Royal Hogs,Earthquake,Ice Spirit,Royal Delivery,Cannoneer,2,Evol Archers,Evol Bats,Fisherman,Goblin Giant,Bowler,Lightning,Little Prince,Arrows,Tower Princess
